type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
white,7.96,0.249,0.408,8.67,0.0385,3.146,0.586,9.7,0.9967,Medium
red,9.7,0.693,0.324,2.6,0.0881,3.118,0.435,8.76,1.00014,Low
white,8.16,0.394,0.333,7.98,0.038,3.321,0.661,11.27,0.99464,High
red,7.57,0.481,0.483,6.18,0.0635,3.177,0.483,10.82,0.99677,Medium
white,3.99,0.273,0.257,8.54,0.067,3.358,0.619,10.88,0.994,High
white,5.06,0.366,0.223,8.13,0.0473,3.027,0.596,11.95,0.99409,High
white,8.56,0.173,0.244,10.53,0.0478,3.193,0.604,10.07,0.9978,High
white,6.56,0.41,0.287,6.04,0.0604,3.114,0.752,11.04,0.99616,High
red,7.57,0.425,0.299,6.33,0.07,3.016,0.491,10.47,0.9963,Low
white,8.81,0.377,0.21,5.33,0.043,3.19,0.603,10.31,0.99605,Medium
red,9.79,0.468,0.067,9.89,0.0846,,0.741,11.77,0.99367,Medium
red,8.43,0.494,0.243,5.02,0.0569,3.072,0.513,12.59,0.99535,Medium
red,8.08,0.444,0.353,8.22,0.0833,3.181,0.501,9.95,0.99685,Low
white,6.85,0.324,0.326,5.08,0.0387,3.003,,11.28,0.99454,High
white,7.25,0.529,0.454,10.79,0.0628,2.981,0.569,10.74,0.99642,Medium
white,8.76,0.479,0.545,6.86,0.0582,3.082,0.361,10.75,0.99691,Medium
white,7.46,0.375,0.401,8.69,0.0562,3.133,0.596,10.66,0.99629,High
red,9.2,0.517,0.476,7.65,0.0559,3.139,0.421,10.05,0.99712,Medium
white,8.29,0.424,0.402,8.42,0.0484,3.166,0.685,8.0,0.99889,Low
red,7.11,0.633,0.515,7.16,0.0623,2.953,0.652,12.01,0.99461,High
white,7.83,0.257,0.532,7.78,0.0494,3.106,0.76,9.67,0.99741,High
red,8.08,0.512,0.424,10.33,0.0453,3.275,0.67,10.15,0.99759,Medium
white,4.23,0.158,0.395,8.21,0.0269,2.996,0.493,10.17,0.99784,High
red,6.06,0.632,0.285,5.06,0.0978,3.147,0.494,9.58,0.99815,Low
red,7.28,0.727,0.305,5.11,0.0855,,0.619,10.65,0.99587,Medium
white,7.58,0.348,0.269,8.61,0.0447,3.083,0.526,10.35,0.99732,Medium
red,8.53,0.307,0.385,2.9,0.0664,3.251,0.732,9.65,0.99779,Medium
red,8.6,0.581,0.224,3.34,0.0637,2.972,0.479,10.56,0.99592,Low
white,9.15,0.25,0.287,12.1,0.053,3.333,0.773,10.37,0.99631,High
red,7.0,0.454,0.027,8.22,0.0748,3.255,0.743,11.37,0.99644,Medium
white,6.97,0.403,0.517,11.13,0.0732,3.208,0.506,8.99,0.99921,Low
red,8.73,0.545,0.284,6.81,0.0772,3.369,0.806,9.55,0.99583,Medium
white,6.19,0.291,0.365,7.36,0.0509,3.151,0.436,11.16,0.99749,High
white,7.03,0.275,0.485,7.16,0.0292,3.107,0.555,9.73,0.99835,High
white,5.24,0.353,0.346,8.49,0.0446,3.406,0.377,9.45,0.99773,Low
white,8.55,0.299,0.483,12.88,0.0527,3.476,0.752,9.78,0.99704,Medium
white,6.25,0.229,0.161,9.19,0.0444,3.096,0.332,10.29,0.99715,Medium
white,9.23,0.307,0.598,6.47,0.0427,3.183,0.357,10.3,0.99621,High
red,8.36,0.554,0.44,2.67,0.0849,3.357,,10.18,0.99674,Low
red,9.53,0.502,0.335,8.36,0.1027,3.188,0.749,9.32,0.99634,Low
white,6.94,0.199,0.481,14.61,0.0522,3.289,0.645,11.21,0.9944,High
white,6.97,0.439,0.17,5.66,0.0672,3.317,0.545,11.79,0.99755,Medium
red,7.76,0.246,0.275,8.52,0.0893,3.116,0.712,8.39,0.99857,Low
red,8.53,0.475,0.483,6.73,0.0963,3.263,0.576,8.77,0.99835,Low
white,7.35,0.278,0.086,6.81,0.0409,3.199,0.581,11.45,0.99573,Medium
white,6.14,0.355,0.377,,0.0469,3.017,0.728,12.05,0.99447,High
white,6.86,0.396,0.374,6.25,0.047,3.052,0.5,8.16,0.99844,Low
white,6.33,0.453,0.546,8.02,0.0582,3.102,0.438,11.26,0.99601,Medium
white,9.53,0.269,0.12,8.64,0.0619,3.339,0.586,12.12,0.99498,High
red,8.3,0.579,0.503,10.28,0.0819,3.344,0.679,9.49,0.99684,Medium
white,8.7,0.36,0.243,7.9,0.0632,,0.543,12.06,0.99564,Medium
red,8.18,0.349,0.256,3.79,0.0716,,0.71,10.21,0.99704,High
white,7.29,0.53,0.163,9.65,0.0633,3.262,0.506,10.73,0.99676,Low
red,6.95,0.376,0.179,7.26,0.0952,3.242,0.605,9.64,0.99802,Low
white,6.51,0.382,0.358,6.93,0.0602,3.261,0.575,11.45,0.9956,Medium
white,7.23,0.379,0.177,6.42,0.052,3.271,0.564,11.28,0.99576,High
white,8.74,0.368,0.399,6.54,0.0607,,0.724,12.21,0.99641,High
white,7.24,0.291,0.23,13.5,0.0366,3.081,0.574,11.91,0.99449,High
red,9.92,0.603,0.164,7.09,0.083,3.046,0.554,10.39,0.99502,Low
white,7.7,0.184,0.247,7.74,0.0545,3.366,0.593,13.66,0.99427,High
red,10.19,0.513,0.35,9.35,0.0601,3.448,0.711,11.82,0.99486,High
red,8.34,0.464,0.277,3.71,0.0871,2.875,0.683,10.97,0.99522,Medium
red,11.03,0.452,0.314,5.18,0.0613,3.435,0.676,9.35,0.99844,Medium
red,7.87,0.563,0.394,3.03,0.0736,3.213,0.41,8.79,0.99802,Low
red,7.56,0.628,0.44,9.12,0.0806,3.352,0.291,8.88,0.99693,Low
white,5.67,0.306,0.273,6.78,0.039,,0.683,9.42,0.99932,Medium
,9.56,0.418,0.185,6.81,0.0512,3.416,0.583,11.85,0.99395,High
white,7.9,0.345,0.319,9.73,0.051,3.231,0.527,10.91,0.99616,High
red,8.03,0.431,0.366,2.09,0.0677,2.995,0.673,9.76,0.99558,Medium
red,9.77,0.494,0.135,2.78,0.0885,3.184,0.821,10.26,0.99707,Low
,9.16,0.49,0.203,7.79,0.0685,3.277,0.76,10.13,0.99637,Medium
white,9.16,0.27,0.224,6.52,0.0843,3.168,0.645,11.24,0.99668,Medium
white,5.3,0.383,0.285,20.27,0.0484,3.299,0.424,9.48,0.99751,Low
red,8.11,0.543,0.219,5.87,0.0624,,0.499,10.77,0.99758,Low
white,6.49,0.181,0.395,5.6,0.0352,,0.244,10.72,0.99603,High
red,6.23,0.355,0.117,11.74,0.0972,3.037,0.666,9.51,0.99606,Low
red,9.57,0.562,0.12,5.86,0.0739,3.141,0.723,12.07,0.99541,Medium
red,8.1,0.438,0.27,4.88,0.0595,3.231,0.733,10.09,0.99675,Medium
red,9.21,0.55,0.289,5.85,0.0928,2.906,0.671,9.36,0.996,Low
white,9.6,0.418,0.135,5.6,0.0438,3.083,0.512,11.3,0.99494,Medium
white,6.61,0.213,0.237,8.47,0.0598,2.9,0.462,10.46,0.99598,Medium
red,7.94,0.379,0.262,3.42,0.094,3.107,0.491,10.83,0.99771,Low
white,7.13,0.507,0.263,8.31,0.0541,3.38,0.51,9.16,0.99845,Low
white,8.09,0.375,0.328,7.42,0.0859,3.022,0.413,11.25,0.99562,Medium
white,6.38,0.298,0.231,8.9,0.0241,3.305,0.741,12.68,0.99507,High
white,6.31,0.247,0.487,7.74,0.0377,3.627,0.374,9.07,0.99606,Medium
red,9.56,0.469,0.369,4.09,0.0762,3.418,0.566,10.77,0.99586,Medium
white,7.42,0.221,0.213,6.46,0.0839,3.22,0.298,9.58,0.9978,Low
red,6.15,0.608,0.321,2.43,0.107,3.329,0.626,13.22,0.99431,High
white,5.65,0.262,0.325,5.48,0.0693,2.995,0.53,11.7,0.99504,High
red,10.05,0.629,0.456,,0.0681,2.964,0.547,10.7,0.9964,Medium
white,7.44,0.3,0.238,10.67,0.0398,3.204,0.418,9.11,0.99817,Medium
red,7.56,0.416,0.402,3.18,0.0676,3.26,0.59,9.36,0.99763,Low
red,8.21,0.477,0.315,3.77,0.0682,3.364,0.525,11.18,0.99677,Medium
white,7.01,0.078,0.489,6.99,0.0724,3.115,0.514,8.97,0.99827,Medium
white,7.81,0.328,0.465,7.45,0.0463,3.229,0.765,9.0,0.99842,High
red,6.91,0.503,0.334,6.78,0.0783,3.224,0.611,10.41,0.99823,Low
white,6.07,0.422,0.279,7.72,0.0616,3.18,0.594,10.54,0.99732,Medium
white,7.3,0.151,0.371,11.44,0.025,3.189,0.474,10.8,0.99791,High
red,8.29,0.636,0.288,2.82,0.0808,3.072,0.496,9.94,0.99651,Low
white,7.63,0.422,0.512,10.97,0.0335,3.242,0.527,11.37,0.99439,High
white,5.65,0.465,0.319,14.15,0.0456,3.229,0.83,9.5,0.99738,Medium
white,7.39,0.335,0.261,8.44,0.0412,3.134,0.496,11.06,0.9959,Medium
red,9.6,0.621,0.255,3.08,0.0704,3.3,0.633,10.62,0.99782,Low
red,8.94,0.373,0.164,6.85,0.0834,3.354,0.491,11.03,0.99512,Medium
white,7.15,0.411,0.377,8.48,0.0533,3.302,,11.64,0.99551,Medium
white,6.89,0.263,0.212,9.42,0.0467,3.044,0.435,9.92,0.9975,Medium
white,6.08,0.175,0.442,,0.0556,3.215,0.816,9.71,0.99741,High
white,6.92,0.228,0.155,7.55,0.037,3.063,0.601,8.63,0.99814,Low
white,8.39,0.341,0.325,7.22,0.0602,3.214,0.727,8.28,0.99893,Medium
white,6.87,0.258,0.448,22.26,0.0469,3.064,0.488,10.22,0.99783,Medium
white,6.02,0.378,0.052,10.1,0.0427,,0.247,10.29,0.99818,Low
white,6.46,0.159,0.552,12.39,0.0381,3.317,0.397,9.26,0.99776,Medium
white,7.22,0.127,0.259,11.31,0.0464,3.373,0.578,9.49,0.99678,High
red,7.99,0.657,0.327,9.26,0.1081,3.358,0.619,12.0,0.99664,Medium
white,7.53,0.43,0.379,9.53,0.0491,3.159,0.529,11.32,0.9949,Medium
red,8.98,0.415,0.397,8.64,0.0628,3.136,0.526,9.08,0.9995,Low
red,9.38,0.52,0.343,3.78,0.0938,3.461,0.703,9.94,0.99832,Low
white,8.57,0.442,0.43,5.61,0.0429,3.175,0.47,10.83,0.99765,Medium
red,9.5,0.562,0.372,3.36,0.0843,2.997,0.627,9.74,0.99791,Low
red,7.37,0.535,0.521,4.89,0.0709,3.351,,9.55,0.99556,Low
white,6.01,0.45,0.373,7.77,0.0692,,0.486,10.04,0.99609,Medium
white,6.92,0.267,0.546,8.5,0.0411,3.426,0.424,11.55,0.99594,High
red,7.9,0.523,0.418,3.68,0.101,3.236,0.539,11.64,0.99498,Medium
red,7.15,0.518,0.093,2.15,0.0643,3.197,0.815,9.63,0.99711,Low
,7.91,0.493,0.623,4.29,0.0756,3.429,0.723,10.88,0.99682,High
white,6.48,0.301,0.241,5.89,0.071,2.969,0.652,10.39,0.99656,Medium
white,6.26,0.347,0.489,8.38,0.0525,3.112,0.436,9.34,0.99656,Medium
red,8.05,0.523,0.313,6.49,0.1141,3.067,0.417,10.09,0.99778,Low
white,8.3,0.235,0.437,7.45,0.046,2.871,0.662,9.07,0.99836,Medium
red,8.62,0.6,0.227,3.0,0.0839,3.331,0.699,11.62,0.99538,Medium
red,11.12,0.422,0.385,5.44,0.1086,3.116,,12.03,0.99587,High
white,7.19,0.318,0.28,22.89,0.0273,3.336,0.486,9.97,0.99717,Medium
red,8.08,0.49,0.499,6.9,0.0554,3.258,0.414,9.72,0.99851,Medium
red,8.4,0.556,0.363,7.18,0.0681,3.291,0.694,11.51,0.99584,High
red,8.68,0.308,0.422,4.04,0.0922,3.132,0.732,11.68,0.99674,High
white,7.48,0.429,0.05,6.67,0.0259,3.085,0.449,9.23,0.99607,Low
white,9.28,0.272,0.3,12.47,0.059,3.213,0.438,10.24,0.99726,Medium
white,6.07,0.462,0.359,5.2,0.0579,3.338,0.679,10.34,0.9964,Medium
red,9.34,0.472,0.337,3.63,0.1102,3.192,0.513,9.59,0.99666,Low
red,8.63,0.515,0.425,12.38,0.0957,3.095,0.803,10.81,0.99737,Medium
white,5.27,0.531,0.266,8.22,0.0555,3.02,,9.67,0.99816,Medium
red,9.25,0.492,0.316,2.51,0.1004,3.231,0.544,9.83,0.99541,Low
white,8.39,0.464,0.452,9.8,0.0581,3.117,0.535,10.29,0.99744,Medium
white,6.06,0.344,0.037,7.46,0.0431,3.189,0.484,8.84,0.99864,Low
red,8.39,0.562,0.381,2.33,0.0628,3.164,0.725,8.24,0.99799,Low
white,5.1,0.347,0.27,9.14,0.0415,3.133,0.636,11.36,0.99508,High
red,7.02,0.605,0.201,5.49,0.0794,3.244,0.721,9.62,0.99597,Low
red,9.55,0.451,0.35,5.32,0.0826,3.283,0.612,12.64,0.99438,High
white,6.49,0.242,0.457,10.05,0.018,3.495,0.475,12.47,0.99468,High
white,5.78,0.276,0.435,6.13,0.0467,3.314,0.529,9.87,0.99789,Medium
white,7.25,0.35,0.294,9.47,0.0504,3.439,0.479,12.86,0.99473,High
white,6.43,0.318,0.415,8.9,0.0582,3.077,0.706,11.38,0.99486,High
white,6.48,0.411,0.414,12.36,0.0744,2.96,0.65,9.72,0.99753,Medium
white,7.81,0.47,0.3,6.81,0.0528,3.198,0.519,8.0,0.99863,Low
white,5.72,0.242,0.227,13.27,0.0364,3.329,0.419,11.12,0.99521,High
red,7.4,0.447,0.234,8.03,0.0527,3.305,0.775,10.43,0.99524,Medium
white,7.17,0.196,0.411,8.12,0.0603,3.382,0.546,10.85,0.99686,High
white,8.07,0.543,0.305,8.52,0.037,2.82,0.514,10.16,0.99732,Medium
red,9.76,0.55,0.184,2.02,0.093,3.388,0.776,9.2,0.99828,Low
white,6.27,0.388,0.108,8.45,0.071,3.25,0.469,9.95,0.99645,Low
red,9.43,0.386,0.41,7.72,0.0568,2.968,0.552,11.14,0.99619,Medium
red,7.54,0.52,0.244,4.54,0.0883,3.309,0.562,10.03,0.9958,Low
white,9.01,0.391,0.35,12.35,0.0694,3.225,0.372,10.02,0.99615,Low
red,7.15,0.495,0.459,6.66,0.0953,3.257,0.628,8.8,0.99817,Low
white,8.46,0.448,0.153,17.78,0.0186,3.35,0.439,10.5,0.99685,Medium
white,6.28,0.571,0.305,6.92,0.0372,3.265,,9.23,0.99629,Low
white,9.21,0.245,0.29,10.52,0.0308,2.979,0.445,11.36,0.99488,High
red,9.05,0.418,0.356,2.72,0.0879,3.179,0.52,9.63,0.99706,Medium
red,7.28,0.432,0.459,4.75,0.0862,2.957,0.489,10.09,0.99784,Medium
white,6.43,0.501,0.15,10.07,0.01,3.297,0.56,12.67,0.99393,High
white,7.86,0.444,0.378,10.77,0.0455,3.41,0.511,10.08,0.99711,Medium
white,8.16,0.326,0.434,7.57,0.062,3.014,0.536,9.94,0.99733,Medium
white,6.92,0.344,0.288,12.91,0.0522,,0.812,11.01,0.99593,High
red,8.45,0.438,0.294,10.91,0.0822,3.068,0.571,8.53,0.99862,Low
white,7.83,0.429,0.36,6.94,0.0445,3.132,0.603,11.71,0.99431,High
red,8.54,0.482,0.351,4.83,0.0641,3.262,0.676,11.44,0.99517,Medium
red,6.98,0.494,0.38,4.58,0.0797,3.134,0.582,10.95,0.9975,Low
white,6.11,0.401,0.377,,0.0508,3.298,0.563,8.0,1.00021,Low
red,8.66,0.501,0.192,10.52,0.0892,3.36,0.592,10.13,0.9977,Low
red,9.74,0.497,0.429,10.45,0.0904,3.365,0.614,9.06,0.9989,Low
red,10.18,0.521,0.45,4.66,0.0813,3.032,0.52,11.58,0.99399,Medium
red,9.26,0.6,0.332,7.3,0.0964,3.408,0.531,11.51,0.99485,Medium
white,7.32,0.505,0.131,12.29,0.0444,3.42,0.532,10.81,0.99605,Low
red,9.22,0.579,0.296,5.99,0.0583,,0.353,9.14,1.00001,Low
white,6.27,0.42,0.333,7.68,0.0572,3.176,0.71,11.97,0.99501,High
white,6.83,0.32,0.173,6.82,0.0519,3.087,0.789,10.12,0.99762,High
red,7.49,0.449,0.267,7.69,0.0875,3.052,0.61,12.3,0.99533,High
red,7.03,0.585,0.141,2.81,0.061,3.035,0.67,10.68,0.99677,Low
white,7.37,0.357,0.383,7.74,0.0769,3.202,0.66,10.93,0.9962,High
white,7.2,0.198,0.33,,0.0607,3.327,0.371,9.92,0.99605,High
white,7.76,0.307,0.113,5.94,0.0457,,0.641,11.88,0.99294,High
white,7.6,0.332,0.352,8.23,0.036,3.127,0.479,11.04,0.99728,High
red,8.67,0.469,0.303,4.78,0.0962,3.194,0.865,11.92,0.99478,High
red,9.01,0.668,0.372,3.29,0.0635,3.184,0.567,10.59,0.99485,Low
white,6.95,0.388,0.263,13.5,0.0839,3.105,0.639,10.35,0.99714,Medium
red,8.85,0.657,0.214,7.72,0.0708,3.31,0.569,11.02,0.99652,Low
white,6.2,0.366,0.217,8.57,0.0758,,0.794,11.91,0.99603,High
white,7.41,0.348,0.245,11.57,0.0472,3.221,0.469,11.47,0.99674,Medium
white,7.74,0.246,0.312,12.69,0.0737,3.254,0.67,10.55,0.99574,High
white,6.26,0.341,0.328,13.76,0.039,3.292,0.605,8.45,0.99767,Low
red,8.46,0.521,0.287,3.71,0.0803,3.291,0.639,11.25,0.99565,Medium
red,7.71,0.383,0.259,8.37,0.0921,3.074,0.617,8.89,0.9988,Low
red,7.82,0.466,0.268,4.79,0.0899,3.334,0.51,10.44,0.99477,Low
white,5.76,0.308,0.611,,0.0665,3.238,0.22,10.28,0.99692,Medium
red,9.79,0.561,0.218,3.8,0.0727,3.135,0.719,8.91,0.99888,Low
red,9.57,0.566,0.243,5.24,0.0813,3.235,0.531,10.79,0.99715,Low
red,8.99,0.462,0.705,8.44,0.0987,3.252,0.73,12.66,0.9953,High
red,10.57,0.567,0.361,12.1,0.0694,3.362,0.632,10.07,0.99795,Medium
white,6.79,0.322,0.144,8.18,0.0586,3.043,0.674,11.2,0.99351,High
red,11.73,0.233,0.411,3.34,0.0767,3.399,0.686,12.87,0.99593,High
white,6.75,0.292,0.201,16.34,0.0531,3.203,0.234,11.31,0.99618,Medium
red,8.68,0.628,0.419,3.65,0.0813,3.124,0.664,9.72,0.99851,Low
white,6.56,0.172,0.285,5.63,0.0382,3.119,0.489,10.65,0.99542,High
red,8.81,0.531,0.257,3.95,0.0761,3.05,0.73,10.9,0.99467,Medium
red,9.32,0.679,0.503,9.23,0.0822,2.939,0.661,11.91,0.99695,Medium
white,6.87,0.264,0.378,6.74,0.0485,,0.602,11.67,0.99472,High
white,8.95,0.34,0.427,6.18,0.0736,3.497,0.497,8.0,0.99858,Medium
white,7.26,0.21,0.362,8.79,0.0651,2.957,0.42,9.5,0.99798,Medium
red,8.7,0.683,0.257,12.11,0.0843,3.057,0.538,10.33,0.99746,Low
red,7.4,0.512,0.383,6.73,0.0686,3.313,0.374,9.33,0.99863,Low
white,7.46,0.345,0.455,5.99,0.0376,3.193,0.459,8.0,0.99906,Low
red,8.25,0.655,0.326,15.85,0.1096,3.325,0.414,9.64,0.99644,Low
white,6.33,0.406,0.526,9.5,0.0349,3.185,0.357,10.4,0.99734,Medium
white,6.15,0.252,0.412,11.91,0.0517,3.113,0.544,9.85,0.99785,High
white,9.94,0.275,0.335,5.77,0.0554,3.166,0.594,9.35,0.99601,Medium
white,6.71,0.389,0.34,17.49,0.0453,2.843,0.526,10.44,0.99794,Medium
white,5.4,0.278,0.326,,0.035,3.028,0.47,10.76,0.99414,Medium
red,7.63,0.308,0.16,2.5,0.0682,3.342,0.476,9.91,0.99807,Low
red,8.34,0.515,0.299,5.95,0.0718,3.379,0.552,11.84,0.99483,Medium
white,7.6,0.192,0.337,11.91,0.0394,,0.431,10.46,0.99728,Medium
white,7.61,0.502,0.26,10.48,0.0699,3.266,0.522,9.48,0.99799,Low
red,9.14,0.538,0.351,7.21,0.0799,2.862,0.407,9.22,0.99773,Low
red,7.69,0.429,0.313,6.93,0.0721,3.105,0.674,10.18,0.9973,Low
white,7.37,0.27,0.403,8.87,0.0516,3.399,0.462,11.57,0.99557,High
white,6.04,0.151,0.39,5.77,0.06,3.443,0.575,9.54,0.99812,High
white,6.32,0.23,0.33,7.95,0.0448,3.404,0.636,11.03,0.9981,High
red,7.39,0.622,0.146,4.43,0.0935,3.165,0.629,10.5,0.9954,Low
red,7.09,0.743,0.525,10.59,0.0609,3.004,0.686,12.49,0.99195,High
white,8.17,0.413,0.293,12.44,0.0676,3.194,0.282,10.81,0.99596,Low
red,9.16,0.511,0.3,4.15,0.0799,3.202,0.531,9.67,0.99692,Low
white,8.07,0.297,0.269,11.15,0.0493,3.435,0.662,11.17,0.99567,High
white,7.04,0.244,0.251,8.3,0.0396,3.234,0.591,11.21,0.99514,High
red,9.25,0.726,0.495,2.43,0.0616,3.203,0.812,9.98,0.99786,Medium
red,6.46,0.501,0.476,,0.055,3.211,0.795,9.18,0.99655,Medium
red,9.35,0.732,0.363,48.1,0.0686,3.26,0.626,10.96,0.9966,Medium
,7.19,0.479,0.297,6.33,0.0588,3.294,0.5,10.47,0.99721,Low
white,7.69,0.166,0.384,6.33,0.0356,3.091,0.415,8.81,0.99842,Medium
red,8.82,0.453,0.319,3.69,0.0568,3.041,0.533,10.67,0.9969,Medium
white,5.91,0.273,0.287,10.73,0.0364,3.406,0.481,9.73,0.99816,Medium
white,5.35,0.332,0.351,12.51,0.0442,2.954,0.459,8.81,0.99818,Low
white,6.22,0.334,0.257,12.4,0.0448,3.446,0.42,10.03,0.99672,Medium
white,7.62,0.64,0.34,5.55,0.0481,2.913,0.578,11.75,0.99592,Medium
red,9.16,0.412,0.335,3.62,0.0955,3.112,0.794,11.67,0.9961,High
red,6.9,0.543,0.382,3.36,0.0987,3.346,0.702,11.39,0.99661,Medium
white,5.92,0.402,0.236,10.72,0.0801,3.2,0.491,10.68,0.99491,Medium
red,7.6,0.52,0.395,3.65,0.0556,3.003,0.712,11.03,0.99597,High
white,6.61,0.351,0.201,8.11,0.0372,3.264,0.572,10.5,0.99565,Medium
red,6.9,0.416,0.241,7.9,0.0905,,0.585,9.24,0.99825,Low
red,6.84,0.531,0.247,5.41,0.0732,3.168,0.578,9.45,0.99821,Low
red,7.5,0.571,0.181,6.29,0.0929,3.106,0.566,9.76,0.99703,Low
red,8.49,0.553,0.432,4.82,0.0831,3.195,0.668,11.87,0.99472,Medium
red,7.1,0.577,0.194,8.77,0.1037,3.113,0.607,11.53,0.99622,Low
red,8.27,0.661,0.226,9.27,0.0956,3.565,0.503,9.27,0.9976,Low
white,8.16,0.434,0.461,10.13,0.0659,3.164,0.437,10.46,0.99793,Medium
red,6.97,0.527,0.242,9.29,0.0738,3.144,0.627,9.98,0.99867,Medium
red,8.17,0.403,0.287,18.94,0.0785,3.119,0.641,10.24,0.99774,Medium
red,9.53,0.46,0.189,7.83,0.0754,3.467,0.552,9.84,0.99741,Low
red,7.94,0.498,0.41,5.19,0.0574,2.954,0.454,11.88,0.99701,Medium
red,7.77,0.545,0.412,6.37,0.1021,3.254,0.74,10.38,0.99693,Low
white,8.28,0.292,0.399,13.02,0.0612,3.164,0.655,10.63,0.99606,High
red,8.06,0.426,0.375,4.3,0.0748,2.986,0.352,10.64,0.99588,Medium
white,8.21,0.221,0.319,7.33,0.0696,3.077,0.691,9.32,0.99704,Medium
white,7.47,0.175,0.247,9.51,0.0405,3.248,0.505,10.51,0.9966,High
red,8.02,0.497,0.212,5.14,0.0524,3.07,0.613,11.52,0.99611,High
red,8.93,0.373,0.465,3.35,0.0951,3.239,0.727,11.95,0.99403,High
red,8.75,0.42,0.402,5.8,0.0608,3.459,0.788,9.19,0.99738,Medium
white,8.12,0.301,0.227,14.17,0.0471,,0.65,8.81,0.99832,Medium
red,7.8,0.386,0.315,6.81,0.0831,2.982,0.619,10.47,0.99722,High
white,7.05,0.378,0.274,6.26,0.0558,3.073,0.365,11.56,0.99563,Medium
white,6.93,0.414,0.175,10.6,0.0627,3.157,0.287,10.78,0.99658,Low
white,7.77,0.285,0.331,7.82,0.0587,3.147,,11.11,0.99495,High
white,5.87,0.296,0.26,18.53,0.0582,3.223,0.691,8.97,0.99717,Medium
white,8.12,0.394,0.196,10.28,0.0381,3.247,0.432,9.8,0.99719,Medium
red,8.91,0.449,0.133,3.93,0.0844,3.46,0.558,8.09,0.99924,Low
red,6.95,0.442,0.122,7.71,0.0574,3.199,0.523,10.25,0.99704,Low
red,9.73,0.64,0.265,6.02,0.1034,3.027,0.52,8.13,0.99798,Low
white,9.46,0.428,0.3,13.58,0.029,3.373,0.659,11.8,0.99523,High
white,8.1,0.4,0.205,7.32,0.0448,3.389,,12.03,0.99659,High
white,8.57,0.433,0.388,10.28,0.0302,3.235,0.502,10.55,0.99705,Medium
red,8.49,0.322,0.302,2.57,0.069,3.163,0.909,8.81,0.99798,Medium
white,5.17,0.475,0.379,8.87,0.0502,3.293,0.358,10.79,0.99543,Low
white,4.97,0.379,0.288,6.23,0.0421,3.168,0.596,12.35,0.9943,High
white,7.28,0.441,0.216,9.12,0.0672,2.892,0.404,10.9,0.99626,Medium
white,6.35,0.379,0.324,9.82,0.0534,3.285,0.511,11.64,0.99583,High
red,7.39,0.525,0.158,6.93,0.0731,3.334,0.608,9.89,0.99767,Low
red,8.33,0.492,0.375,4.12,0.078,3.416,0.691,9.49,0.99787,Medium
white,7.68,0.377,0.198,8.96,0.0683,3.09,,10.33,0.99643,Medium
red,6.8,0.489,0.42,9.66,0.0936,3.234,0.546,8.38,0.99806,Low
red,7.91,0.607,0.269,12.87,0.0629,3.237,0.557,12.78,0.9964,High
red,10.06,0.361,0.438,5.86,0.0698,3.213,0.46,10.55,0.99606,Medium
red,7.22,0.466,0.175,9.81,0.0871,3.217,0.666,11.31,0.99472,Medium
white,7.96,0.544,0.229,6.67,0.0553,3.206,0.564,9.92,0.99566,Low
white,6.47,0.277,0.356,7.64,0.0342,3.232,0.582,8.78,0.99784,Medium
red,9.0,0.496,0.45,6.21,0.0912,3.311,0.582,11.9,0.9962,High
red,9.61,0.432,0.51,5.16,0.0666,3.383,0.567,9.22,0.99724,Medium
red,9.22,0.554,0.315,4.89,0.0996,3.087,0.731,10.77,0.9977,Medium
white,8.0,0.266,0.531,12.44,0.0579,3.174,0.653,10.87,0.99627,High
white,5.73,0.321,0.275,6.43,0.033,,0.7,10.48,0.99763,High
white,8.23,0.425,0.442,6.57,0.0421,,0.575,9.58,0.99676,Medium
red,7.46,0.45,0.197,2.84,0.0718,,0.752,10.24,0.99618,Medium
red,8.69,0.599,0.36,6.31,0.0824,3.204,0.54,9.4,0.99768,Low
white,7.28,0.422,0.029,7.82,0.0469,3.272,0.506,11.25,0.99637,Medium
white,7.53,0.445,0.175,11.94,0.0328,3.177,0.673,11.0,0.996,Medium
white,7.37,0.354,0.366,9.22,0.0291,3.199,0.631,10.38,0.99698,High
white,6.07,0.664,0.153,7.27,0.0582,3.263,0.495,9.8,0.99777,Low
white,5.52,0.445,0.361,6.99,0.0543,3.412,0.404,12.61,0.99343,High
red,9.36,0.552,0.419,5.0,0.0816,3.137,0.566,9.03,0.99763,Low
red,8.6,0.432,0.25,3.05,0.0841,3.024,0.508,8.78,0.99769,Low
red,9.66,0.51,0.194,9.36,0.0707,3.186,0.797,10.31,0.99636,Medium
red,8.35,0.663,0.253,4.5,0.0828,3.483,0.681,10.13,0.99731,Low
red,6.85,0.691,0.194,2.66,0.1181,3.026,0.498,11.55,0.99521,Low
white,8.06,0.488,0.298,13.62,0.0676,,0.405,11.08,0.99428,Medium
red,7.99,0.599,0.322,5.04,0.0757,3.374,0.497,10.43,0.99646,Medium
red,8.78,0.394,0.273,7.38,0.0721,2.845,0.523,10.93,0.99527,Medium
white,6.29,0.389,0.511,7.3,0.01,3.262,0.51,10.91,0.99669,High
white,8.81,0.216,0.224,13.82,0.066,3.291,0.664,12.61,0.99544,High
